"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","56","Update operation","tests","Thu Oct 16 20:15:34 GMT 2025","passed","Thu Oct 16 20:15:34 GMT 2025","TestOperations","test_operations","",""
"","168","Create operation","tests","Thu Oct 16 20:15:34 GMT 2025","passed","Thu Oct 16 20:15:34 GMT 2025","TestOperations","test_operations","",""
"","56","Get operation by id","tests","Thu Oct 16 20:15:34 GMT 2025","passed","Thu Oct 16 20:15:34 GMT 2025","TestOperations","test_operations","",""
"","105","Delete operation","tests","Thu Oct 16 20:15:34 GMT 2025","passed","Thu Oct 16 20:15:34 GMT 2025","TestOperations","test_operations","",""
"","301","Get list of operations","tests","Thu Oct 16 20:15:33 GMT 2025","skipped","Thu Oct 16 20:15:33 GMT 2025","TestOperations","test_operations","",""
