"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","61","Update operation","tests","Mon Oct 06 10:26:20 GMT 2025","passed","Mon Oct 06 10:26:20 GMT 2025","TestOperations","test_operations","",""
"","102","Delete operation","tests","Mon Oct 06 10:26:20 GMT 2025","passed","Mon Oct 06 10:26:20 GMT 2025","TestOperations","test_operations","",""
"","66","Get operation by id","tests","Mon Oct 06 10:26:19 GMT 2025","passed","Mon Oct 06 10:26:19 GMT 2025","TestOperations","test_operations","",""
"","177","Create operation","tests","Mon Oct 06 10:26:19 GMT 2025","passed","Mon Oct 06 10:26:20 GMT 2025","TestOperations","test_operations","",""
"","361","Get list of operations","tests","Mon Oct 06 10:26:19 GMT 2025","passed","Mon Oct 06 10:26:19 GMT 2025","TestOperations","test_operations","",""
