"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","187","Create operation","tests","Fri Oct 10 08:34:21 GMT 2025","passed","Fri Oct 10 08:34:21 GMT 2025","TestOperations","test_operations","",""
"","63","Update operation","tests","Fri Oct 10 08:34:21 GMT 2025","passed","Fri Oct 10 08:34:22 GMT 2025","TestOperations","test_operations","",""
"","65","Get operation by id","tests","Fri Oct 10 08:34:21 GMT 2025","passed","Fri Oct 10 08:34:21 GMT 2025","TestOperations","test_operations","",""
"","357","Get list of operations","tests","Fri Oct 10 08:34:20 GMT 2025","skipped","Fri Oct 10 08:34:21 GMT 2025","TestOperations","test_operations","",""
"","112","Delete operation","tests","Fri Oct 10 08:34:22 GMT 2025","passed","Fri Oct 10 08:34:22 GMT 2025","TestOperations","test_operations","",""
