"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","58","Get operation by id","tests","Mon Oct 13 22:12:16 GMT 2025","passed","Mon Oct 13 22:12:16 GMT 2025","TestOperations","test_operations","",""
"","59","Update operation","tests","Mon Oct 13 22:12:16 GMT 2025","passed","Mon Oct 13 22:12:16 GMT 2025","TestOperations","test_operations","",""
"","175","Create operation","tests","Mon Oct 13 22:12:16 GMT 2025","passed","Mon Oct 13 22:12:16 GMT 2025","TestOperations","test_operations","",""
"","244","Get list of operations","tests","Mon Oct 13 22:12:15 GMT 2025","skipped","Mon Oct 13 22:12:15 GMT 2025","TestOperations","test_operations","",""
"","104","Delete operation","tests","Mon Oct 13 22:12:16 GMT 2025","passed","Mon Oct 13 22:12:16 GMT 2025","TestOperations","test_operations","",""
