"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","188","Get list of operations","tests","Mon Oct 06 10:43:46 GMT 2025","passed","Mon Oct 06 10:43:47 GMT 2025","TestOperations","test_operations","",""
"","103","Create operation","tests","Mon Oct 06 10:43:47 GMT 2025","passed","Mon Oct 06 10:43:47 GMT 2025","TestOperations","test_operations","",""
"","65","Update operation","tests","Mon Oct 06 10:43:47 GMT 2025","passed","Mon Oct 06 10:43:47 GMT 2025","TestOperations","test_operations","",""
"","63","Get operation by id","tests","Mon Oct 06 10:43:47 GMT 2025","passed","Mon Oct 06 10:43:47 GMT 2025","TestOperations","test_operations","",""
"","84","Delete operation","tests","Mon Oct 06 10:43:47 GMT 2025","passed","Mon Oct 06 10:43:47 GMT 2025","TestOperations","test_operations","",""
