"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","69","Get operation by id","tests","Fri Oct 10 10:09:19 GMT 2025","passed","Fri Oct 10 10:09:19 GMT 2025","TestOperations","test_operations","",""
"","74","Update operation","tests","Fri Oct 10 10:09:19 GMT 2025","passed","Fri Oct 10 10:09:19 GMT 2025","TestOperations","test_operations","",""
"","147","Delete operation","tests","Fri Oct 10 10:09:20 GMT 2025","passed","Fri Oct 10 10:09:20 GMT 2025","TestOperations","test_operations","",""
"","120","Create operation","tests","Fri Oct 10 10:09:19 GMT 2025","passed","Fri Oct 10 10:09:19 GMT 2025","TestOperations","test_operations","",""
"","417","Get list of operations","tests","Fri Oct 10 10:09:18 GMT 2025","skipped","Fri Oct 10 10:09:18 GMT 2025","TestOperations","test_operations","",""
