"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","222","Delete operation","tests","Mon Oct 13 21:51:47 GMT 2025","passed","Mon Oct 13 21:51:47 GMT 2025","TestOperations","test_operations","",""
"","394","Create operation","tests","Mon Oct 13 21:51:46 GMT 2025","passed","Mon Oct 13 21:51:46 GMT 2025","TestOperations","test_operations","",""
"","54","Get operation by id","tests","Mon Oct 13 21:51:46 GMT 2025","passed","Mon Oct 13 21:51:46 GMT 2025","TestOperations","test_operations","",""
"","53","Update operation","tests","Mon Oct 13 21:51:47 GMT 2025","passed","Mon Oct 13 21:51:47 GMT 2025","TestOperations","test_operations","",""
"","281","Get list of operations","tests","Mon Oct 13 21:51:45 GMT 2025","skipped","Mon Oct 13 21:51:46 GMT 2025","TestOperations","test_operations","",""
