"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","49","Get operation by id","tests","Mon Oct 13 21:54:29 GMT 2025","passed","Mon Oct 13 21:54:29 GMT 2025","TestOperations","test_operations","",""
"","506","Get list of operations","tests","Mon Oct 13 21:54:28 GMT 2025","skipped","Mon Oct 13 21:54:29 GMT 2025","TestOperations","test_operations","",""
"","99","Update operation","tests","Mon Oct 13 21:54:29 GMT 2025","passed","Mon Oct 13 21:54:30 GMT 2025","TestOperations","test_operations","",""
"","91","Delete operation","tests","Mon Oct 13 21:54:30 GMT 2025","passed","Mon Oct 13 21:54:30 GMT 2025","TestOperations","test_operations","",""
"","200","Create operation","tests","Mon Oct 13 21:54:29 GMT 2025","passed","Mon Oct 13 21:54:29 GMT 2025","TestOperations","test_operations","",""
